Date,Open,High,Low,Close,Adj Close,Volume
2017-10-04,29665.0,29738.0,29665.0,29677.0,29677.0,0
2017-10-05,29674.0,29674.0,29512.0,29684.0,29684.0,0
2017-10-06,29438.0,29438.0,29243.0,29510.0,29510.0,0
2017-10-09,29191.0,29477.0,29191.0,29191.0,29191.0,0
2017-10-10,29429.0,29526.0,29429.0,29438.0,29438.0,0
2017-10-11,29485.0,29513.0,29485.0,29478.0,29478.0,0
2017-10-12,29523.0,29523.0,29402.0,29498.0,29498.0,0
2017-10-13,29741.0,29838.0,29741.0,29748.0,29748.0,0
2017-10-16,29771.0,29771.0,29767.0,29743.0,29743.0,0
2017-10-17,29679.0,29679.0,29535.0,29666.0,29666.0,0
2017-10-18,29493.0,29493.0,29490.0,29501.0,29501.0,0
2017-10-19,29466.0,29489.0,29466.0,29447.0,29447.0,0
2017-10-20,29377.0,29495.0,29377.0,29383.0,29383.0,0
2017-10-23,29652.0,29652.0,29464.0,29598.0,29598.0,0
2017-10-24,29524.0,29524.0,29491.0,29527.0,29527.0,0
2017-10-25,29382.0,29671.0,29382.0,29373.0,29373.0,0
2017-10-26,29599.0,29599.0,29596.0,29588.0,29588.0,0
2017-10-27,29827.0,29827.0,29327.0,29841.0,29841.0,0
2017-10-30,29414.0,29503.0,29414.0,29413.0,29413.0,0
2017-10-31,29496.0,29565.0,29496.0,29511.0,29511.0,0
2017-11-01,29703.0,29762.0,29703.0,29699.0,29699.0,0
2017-11-02,29689.0,29689.0,29337.0,29681.0,29681.0,0
2017-11-03,29187.0,29280.0,29187.0,29191.0,29191.0,0
2017-11-06,29336.0,29348.0,29323.0,29349.0,29349.0,0
2017-11-07,29409.0,29409.0,29390.0,29414.0,29414.0,0
2017-11-08,29399.0,29399.0,29348.0,29409.0,29409.0,0
2017-11-09,29353.0,29368.0,29353.0,29349.0,29349.0,0
2017-11-10,29377.0,29474.0,29377.0,29410.0,29410.0,0
2017-11-13,29326.0,29326.0,29255.0,29440.0,29440.0,0
2017-11-14,29294.0,29313.0,29294.0,29297.0,29297.0,0
2017-11-15,29261.0,29440.0,29261.0,29258.0,29258.0,0
2017-11-17,29480.0,29531.0,29480.0,29501.0,29501.0,0
2017-11-20,29671.0,29722.0,29634.0,29572.0,29572.0,0
2017-11-21,29714.0,29714.0,29594.0,29720.0,29720.0,0
2017-11-22,29592.0,29650.0,29592.0,29593.0,29593.0,0
2017-11-23,29638.0,29808.0,29638.0,29637.0,29637.0,0
